id,時間戳記,性,院,系級,客觀出身,主觀出身,華熟,華使,臺熟,臺使,<姦恁老師>,<姦恁娘>,<啥潲>,<哭枵>,<哭爸>
7,2023/5/10 下午 10:15:01,女,生物資源暨農學院,大一 （約 18 ~ 19 歲）,臺南市,臺南市,6,7,5,2,幹你老師,幹你娘,三小,靠邀,靠北
17,2023/5/10 下午 10:36:34,男,文學院,大一 （約 18 ~ 19 歲）,新北市,臺北市,7,7,6,3,幹林老師,幹拎娘,沙小,靠腰,靠北
18,2023/5/10 下午 10:39:51,男,管理學院,大一 （約 18 ~ 19 歲）,新北市,新北市,7,7,7,7,幹你老師,幹你娘,三小,靠邀,靠北
19,2023/5/10 下午 10:42:53,女,社會科學院,大一 （約 18 ~ 19 歲）,臺中市,臺中市,7,7,6,5,幹你老師,幹你娘,三小,靠腰,靠北
22,2023/5/10 下午 10:45:51,男,理學院,大一 （約 18 ~ 19 歲）,臺中市,臺中市,7,7,6,4,幹你老師,幹你娘,三小,靠腰,靠北
26,2023/5/10 下午 10:49:36,女,管理學院,大一 （約 18 ~ 19 歲）,新北市,新北市,7,7,4,4,幹你老師,幹你娘,三小,靠腰,靠杯
27,2023/5/10 下午 10:50:21,女,社會科學院,大一 （約 18 ~ 19 歲）,桃園市,新北市,7,7,5,3,幹你老師,幹你娘,啥小,靠腰,靠北
29,2023/5/10 下午 10:52:06,女,管理學院,大一 （約 18 ~ 19 歲）,高雄市,高雄市,7,7,3,3,幹拎老蘇,幹賃娘,三小,靠夭,靠北
38,2023/5/10 下午 11:07:54,女,文學院,大一 （約 18 ~ 19 歲）,花蓮縣,臺中市,7,6,2,2,幹你老師,幹你娘,啥潲,靠夭,靠北
39,2023/5/10 下午 11:08:08,女,理學院,大一 （約 18 ~ 19 歲）,桃園市,桃園市,7,5,6,3,幹你老師,幹你娘,三小,靠腰,靠北
42,2023/5/10 下午 11:10:30,女,文學院,大一 （約 18 ~ 19 歲）,澎湖縣,臺北市,7,7,5,3,幹你老師,幹你娘,三小,靠腰,靠北
43,2023/5/10 下午 11:12:45,女,理學院,大一 （約 18 ~ 19 歲）,彰化縣,彰化縣,7,7,5,4,幹林老師,幹拎娘,三小,靠腰,靠杯
44,2023/5/10 下午 11:16:32,女,醫學院,大一 （約 18 ~ 19 歲）,臺北市,臺北市,6,7,1,1,幹你老師,幹您娘,啥小,靠腰,靠北
54,2023/5/10 下午 11:45:07,男,理學院,大一 （約 18 ~ 19 歲）,嘉義縣,臺南市,6,6,3,3,幹林老蘇,幹林良,三小,靠夭,靠杯
56,2023/5/10 下午 11:47:15,女,社會科學院,大一 （約 18 ~ 19 歲）,臺中市,臺中市,7,7,6,2,幹你老師,幹你娘,三小,靠腰,靠北
68,2023/5/11 上午 12:07:46,女,文學院,大一 （約 18 ~ 19 歲）,其他地區,花蓮縣,6,7,1,1,幹拎老蘇,幹拎娘,三小,靠夭,靠杯
85,2023/5/11 上午 12:57:33,女,理學院,大一 （約 18 ~ 19 歲）,臺中市,臺中市,6,7,5,3,幹恁老師,幹恁娘,三小,靠么,靠北
87,2023/5/11 上午 1:10:25,男,社會科學院,大一 （約 18 ~ 19 歲）,臺北市,新北市,7,7,5,4,幹你老師,幹你娘,三小,靠夭,靠北
89,2023/5/11 上午 1:20:32,女,文學院,大一 （約 18 ~ 19 歲）,宜蘭縣,宜蘭縣,7,7,2,2,幹拎老師,幹你娘,三小,靠夭,靠北
92,2023/5/11 上午 1:36:04,女,生物資源暨農學院,大一 （約 18 ~ 19 歲）,新北市,臺北市,7,7,4,2,幹拎老師,幹你娘,殺小,靠腰,靠北
96,2023/5/11 上午 2:22:26,女,工學院,大一 （約 18 ~ 19 歲）,臺北市,新北市,7,7,2,2,幹拎老ㄙ,幹拎涼,三小,靠邀,靠北
97,2023/5/11 上午 2:45:43,女,文學院,大一 （約 18 ~ 19 歲）,臺中市,臺中市,7,7,7,4,幹你老蘇,幹你娘,殺小,靠邀,靠北
98,2023/5/11 上午 2:48:20,男,文學院,大一 （約 18 ~ 19 歲）,基隆市,基隆市,7,7,4,2,幹你老師,幹你娘,三小,靠腰,靠北
100,2023/5/11 上午 3:20:47,女,管理學院,大一 （約 18 ~ 19 歲）,桃園市,桃園市,7,7,5,3,幹你老師,幹你娘,殺小,靠腰,靠北
101,2023/5/11 上午 4:14:52,女,生命科學院,大一 （約 18 ~ 19 歲）,高雄市,高雄市,7,7,6,4,幹您老蘇,幹您娘,三小,靠邀,靠北
102,2023/5/11 上午 4:25:02,女,生命科學院,大一 （約 18 ~ 19 歲）,臺中市,臺中市,7,7,4,2,乾拎老師,乾你娘,啥小,靠腰,拷貝
103,2023/5/11 上午 7:35:52,男,法律學院,大一 （約 18 ~ 19 歲）,臺北市,臺北市,7,7,3,2,幹你老師,幹你娘,殺小,靠邀,靠北
104,2023/5/11 上午 7:42:10,女,生物資源暨農學院,大一 （約 18 ~ 19 歲）,臺北市,臺北市,7,7,6,4,幹拎老師,幹拎娘,殺小,靠腰,靠背
107,2023/5/11 上午 7:56:05,女,管理學院,大一 （約 18 ~ 19 歲）,臺北市,新北市,7,7,2,2,幹你老師,幹你娘,三小,靠腰,靠北
108,2023/5/11 上午 8:13:20,男,法律學院,大一 （約 18 ~ 19 歲）,其他地區,新竹市,7,7,2,2,乾你老師,乾你娘,3小,靠夭,靠北
112,2023/5/11 上午 8:40:44,男,法律學院,大一 （約 18 ~ 19 歲）,彰化縣,彰化縣,6,7,5,4,幹您老師,幹您娘,啥小,靠么,靠北
120,2023/5/11 下午 12:04:12,女,管理學院,大一 （約 18 ~ 19 歲）,嘉義市,嘉義縣,7,7,5,3,幹你老師,幹拎娘,三小,靠邀,靠北
123,2023/5/11 下午 1:02:54,女,工學院,大一 （約 18 ~ 19 歲）,新北市,彰化縣,7,7,6,5,幹拎老蘇,幹拎娘,三小,靠夭,靠背
